Date,Time of Day,Activity Type,Distance (mi),Temperature (°F),Activity Name,Comment,Private Notes
2020-05-17,02:17 PM,Virtual Ride,18.74,,casual sunday climb,,
2020-05-23,02:23 PM,Virtual Ride,18.62,,Watopia - leisurely sat morn,,
2020-05-27,08:56 PM,Virtual Ride,8.35,,Watopia. testing 0% difficulty,,
2020-06-03,09:36 PM,Virtual Ride,15.29,,London,,
2020-06-05,10:44 AM,Virtual Ride,10.08,,London AM 1,,
2020-06-07,02:31 PM,Virtual Ride,10.39,,Richmond,,
2020-06-09,10:58 AM,Virtual Ride,6.75,,NYC,,
2020-06-10,10:51 AM,Virtual Ride,10.39,,Yorkshire,,
2020-06-11,10:52 AM,Virtual Ride,5.01,,London,,
2020-06-15,10:44 AM,Virtual Ride,12.12,,Watopia,,
2020-06-16,10:44 AM,Virtual Ride,12.09,,Watopia,,
2020-06-17,10:42 AM,Virtual Ride,12.04,,Watopia,,
2020-06-18,10:38 AM,Virtual Ride,10.03,,Watopia,,
2020-06-20,11:19 AM,Ride,15.06,61.9,Exploring path to red wing,,
2020-06-20,12:48 PM,Ride,18.56,62.2,Return trip from red wing exploration,,
2020-06-22,09:02 PM,Virtual Ride,10.11,,Watopia,,
2020-06-24,10:10 AM,Virtual Ride,15.23,,Watopia,,
2020-06-26,10:41 AM,Virtual Ride,15.51,,Watopia,,
2020-06-28,10:58 AM,Ride,18.42,66.2,To st paul and back,,
2020-06-30,10:43 AM,Virtual Ride,15.63,,Watopia,,
2020-07-01,10:30 AM,Virtual Ride,14.85,,Watopia -fasting,,
2020-07-04,03:55 PM,Virtual Ride,5.35,,Paris,,
2020-07-04,04:24 PM,Virtual Ride,30.83,,France,,
2020-07-05,12:46 PM,Virtual Ride,27.66,,Watopia,,
2020-07-27,08:55 PM,Virtual Ride,13.75,,6wk Beginner FTP Builder Week 1 Foundation,,
2020-07-28,11:17 AM,Virtual Ride,14.76,,FTP Builder - Strength,,
2020-07-30,11:25 AM,Virtual Ride,10.57,,FTP Builder - Foundation,,
2020-07-31,12:57 PM,Virtual Ride,14.76,,FTP Builder - Tempo,,
2020-08-18,04:45 PM,Ride,32.75,72.0,To Stillwater,,
2020-08-18,08:12 PM,Ride,26.77,77.7,Return Stillwater,,
2020-08-22,01:12 PM,Ride,15.93,67.5,2 flats,"Old tire patch failure, shredded backup tire during installation.",
2020-09-27,01:53 PM,Ride,10.06,54.1,Fall ride,,
2020-10-15,12:31 PM,Virtual Ride,5.0,,RGT Cycling - Borrego Springs,RGT Cycling - Borrego Springs,
2020-10-16,12:25 PM,Virtual Ride,5.52,,RGT Cycling - Paterberg,RGT Cycling - Paterberg,
2020-12-21,12:28 AM,Workout,0.0,,Thrill of the fight,,
2020-12-22,12:50 AM,Workout,0.0,,Vr something,,
2020-12-25,01:01 AM,Workout,0.0,,Creed campaign ending,,
2020-12-25,08:22 PM,Workout,0.0,,Lunch Activity,,
2020-12-26,12:36 AM,Workout,0.0,,"Totf draw, Pistol Whip",,
2020-12-27,11:52 PM,Workout,0.0,,hellsplit,,
2021-01-01,12:48 AM,Workout,0.0,,"Holopoint, ohshape, toft draw",,
2021-01-03,01:22 PM,Ice Skate,0.0,,Ice 3 laps,Didn't notice rink possibly(?) closed. Stopped early,
2021-01-03,08:19 PM,Workout,0.0,,Creed vs mark and hunter,,
2021-01-05,01:06 PM,Ice Skate,0.0,,Ice 10 laps,,
2021-01-09,01:27 PM,Ice Skate,0.0,,Ice 15 laps,"Got stuck behind someone for a lap
",
2021-01-09,04:49 PM,Workout,0.0,,Pavlov vr,"Not very exciting, not very movement based",
2021-01-13,02:59 AM,Workout,0.0,,Totf draw,,
2021-01-17,03:25 PM,Workout,0.0,,Holopoint,,
2021-01-17,10:08 PM,Workout,0.0,,"Creed, echo with Mark",,
2020-12-10,10:14 PM,Rowing,1.25,,9:20 row,,
2020-11-23,10:34 PM,Rowing,3.11,,5000m row,,
2020-11-21,09:08 PM,Rowing,3.12,,26:34 row,,
2020-11-19,08:13 PM,Rowing,1.29,,11:38 row,,
2021-01-18,05:56 PM,Rowing,3.11,,22:01 row,,
2021-01-20,12:36 AM,Rowing,3.11,,5000m row,,
2021-01-20,12:28 PM,Ice Skate,3.8,5.4,Ice 18 laps,cant count laps,
2021-01-27,01:00 AM,Rowing,3.11,,5000m row,,
2021-01-31,01:05 PM,Ice Skate,3.58,28.0,"Ice dodging Zamboni, snow cat",,
2021-02-01,12:40 PM,Ice Skate,2.91,25.0,Ice 15 laps,,
2021-02-16,06:33 PM,Rowing,3.11,,5000m row,,
2021-02-21,12:40 PM,Ice Skate,2.62,21.2,Ice relaxing,,
2021-02-24,11:36 PM,Rowing,2.35,,20:07 row,,
2021-03-03,11:05 PM,Rowing,3.12,,26:23 row,,
2021-03-14,09:03 PM,Rowing,3.11,,5000m row,,
2021-03-22,09:09 PM,Virtual Ride,3.29,,RGT Cycling - Dirty Reiver,RGT Cycling - Dirty Reiver,
2021-04-14,03:18 PM,Ride,22.04,34.9,To Cannon falls,Very cold,
2021-04-14,06:41 PM,Ride,22.33,39.4,Return to red wing,,
2021-04-18,01:49 PM,Ride,14.64,41.2,Recovery ride,,
2021-04-21,11:57 PM,Ride,14.6,,Minneapolis loop,,
2021-04-25,08:36 PM,Ride,10.82,41.9,Wrong turns,Too many trails,
2021-05-23,03:58 PM,Virtual Ride,6.2,,bike emitting worrying noises,,
2021-06-08,04:29 PM,Ride,16.58,87.8,"First ride, hot",,
2021-07-05,09:23 PM,Ride,3.03,94.1,Dear God it's hot,,
2021-07-10,03:37 PM,Ride,19.26,72.0,"Stillwater warmup, perfect ride",,
2021-07-23,11:07 AM,Ride,59.85,73.2,Stillwater,,
2021-08-22,11:26 AM,Ride,60.22,52.2,Dakota regional trail,Round trip with burrito,
2022-01-07,06:38 PM,Ice Skate,3.07,-5.8,First ice skating,Freezing. Need balaclava,
2022-02-01,03:41 PM,Ice Skate,0.07,18.7,Warm skating,,
2022-05-22,12:45 PM,Ride,60.93,,Long bike,,
2022-06-25,03:50 PM,Ride,13.21,,Test commute 1,,
2022-07-02,04:04 PM,Virtual Ride,18.73,,Pre commute fitness level,,
2022-07-04,11:37 AM,E-Bike Ride,7.1,,Practice commute ebike,,
2022-07-04,12:05 PM,E-Bike Ride,6.76,,Return commute,,
2022-07-05,10:44 PM,Ride,1.47,87.6,Ride from now bikes,,
2022-07-16,12:49 AM,E-Bike Ride,14.56,84.7,Exploring new paths,,
2022-07-30,03:18 PM,Ride,22.44,77.2,Tour guide,,
2022-08-08,12:53 PM,E-Bike Ride,6.38,55.8,Heck yeah,,
2022-08-08,10:06 PM,E-Bike Ride,6.59,77.5,Home trip ,,
2022-08-08,11:01 PM,E-Bike Ride,10.36,77.2,Leisure ride,,
2022-08-10,12:47 PM,E-Bike Ride,6.59,65.5,Commute 2 minimal power assist ,Mucho sweaty upon arrival.,
2022-08-10,09:47 PM,E-Bike Ride,7.25,85.3,Commute home,,
2022-08-15,06:26 PM,E-Bike Ride,6.64,75.2,Race home,T-shirt shorts a bit hot,
2022-08-22,12:47 PM,E-Bike Ride,7.27,59.5,Morning Activity,,"Shorts and polyester shirt, temp little sweaty"
2022-08-22,09:29 PM,E-Bike Ride,7.26,81.9,Afternoon Activity,,
2022-08-24,11:39 AM,E-Bike Ride,7.31,68.7,Morning Activity,,Eco limited. Sweat medium
2022-08-24,09:15 PM,E-Bike Ride,7.13,81.9,Forgot to stop timer,,
2022-08-25,11:50 AM,E-Bike Ride,7.24,65.7,Morning Activity,,
2022-08-25,09:23 PM,E-Bike Ride,7.12,77.2,Afternoon Activity,,
2022-08-31,12:22 PM,E-Bike Ride,7.27,62.2,Morning Activity,,
2022-08-31,09:21 PM,E-Bike Ride,7.06,87.6,Afternoon Activity,,
2022-09-04,11:34 AM,Ride,4.1,51.6,Temp check,,
2022-09-10,12:27 PM,Ride,84.04,54.0,Canada,,
2022-10-07,12:43 PM,Ride,7.08,41.2,Morning Ride,"Had: jeans, 150 weight merino long sleeve top
Change: add gloves, light buff ",
2022-10-07,08:56 PM,Ride,6.64,48.0,Ride home,,"Had: merino long sleeve 150, merino short sleeve, jeans, light buff
Change: need gloves. Otherwise not so bad"
2022-10-12,12:59 PM,Ride,7.19,51.3,To work,,"Too warm
Had: jeans, merino t-shirt, Pearl hoodie
Change: replace both with single layer merino long sleeve and buff?"
2022-10-12,09:51 PM,Ride,7.73,49.8,Ride home,,"Wore: merino t-shirt, Pearl hoodie, jeans
Change: nothing"
2023-03-16,07:28 PM,Rowing,1.24,,2000m row,,
2023-03-18,06:04 PM,Rowing,0.5,,3:51 row,,
2023-03-18,06:08 PM,Rowing,1.39,,10:07 row,,
2023-03-20,03:53 PM,Rowing,2.76,,20:07 row,,
2023-03-24,04:26 PM,Rowing,0.07,,115m row,,
2023-03-24,04:26 PM,Rowing,3.29,,25:06 row,,
2023-03-25,12:10 AM,Rowing,4.48,,35:08 row,,
2023-03-27,07:36 PM,Rowing,2.68,,20:00 row,,
2023-03-28,05:57 PM,Rowing,1.59,,12:27 row,,
2023-04-01,12:12 AM,Rowing,6.89,,1:01:12 row,,
2023-04-02,12:41 AM,Rowing,6.52,,1:01:12 row,,
2023-04-02,10:30 PM,Rowing,3.74,,30:00 row,,
2023-04-04,05:44 PM,Rowing,0.66,,5:34 row,,
2023-04-06,06:03 PM,Rowing,1.29,,10:04 row,,
2023-05-15,09:50 PM,Ride,0.48,74.3,Afternoon Ride,,
2023-06-03,11:10 PM,Ride,1.31,87.6,Lumi's second ride,,
2023-06-04,01:31 PM,Ride,0.93,72.5,Morning Ride with Lumi ,,
2023-06-05,08:59 PM,Ride,7.84,84.2,Afternoon Ride,,
2023-06-05,11:36 AM,Ride,7.3,,Morning ride ,First ride of season,
2023-06-05,11:28 AM,Ride,7.5,,Morning ride,,
2023-06-07,11:28 AM,Ride,7.13,64.8,Morning Ride,,
2023-06-07,09:23 PM,Ride,4.31,79.9,Afternoon Ride,,
2023-06-07,09:11 PM,Ride,2.7,,Afternoon ride,,
2023-06-18,01:52 PM,Ride,3.28,68.2,Morning Ride,,
2023-07-01,09:06 PM,Ride,1.5,86.5,Afternoon Ride,,
2023-07-01,09:26 PM,Ride,1.49,86.5,Afternoon Ride,,
2023-07-01,01:33 PM,Ride,2.35,72.0,Morning Ride,,
2023-07-02,01:24 PM,Ride,1.22,72.5,Morning Ride,,
2023-07-02,01:35 PM,Ride,2.37,71.8,Morning Ride,,
2023-07-03,02:42 PM,Ride,3.47,79.0,Morning Ride,,
2023-07-15,07:45 AM,Run,4.21,60.1,Morning Run,,
2023-07-29,03:04 PM,Rowing,1.39,,11:45 row,,
2023-08-02,11:50 AM,Ride,7.26,69.4,Morning Ride,,
2023-08-02,10:17 PM,Ride,6.91,91.4,Afternoon Ride,,
2023-08-06,01:51 PM,Rowing,5.5,,51:29 row,,
2023-08-07,10:25 PM,Rowing,5.69,,50:00 row,,
2023-08-08,11:30 AM,Rowing,5.89,,50:00 row,50:00,
2023-08-10,12:07 PM,Ride,7.16,63.1,Morning Ride,,
2023-08-10,09:33 PM,Ride,7.07,77.4,Afternoon Ride,,
2023-08-17,11:39 AM,Ride,8.17,62.4,Morning Ride,,
2023-08-17,09:10 PM,Ride,7.64,74.3,Afternoon Ride,,
2023-08-17,09:52 PM,Ride,1.46,74.7,Afternoon Ride,,
2023-08-19,04:17 PM,Ride,2.2,79.3,Lunch Ride,,
2023-08-20,03:03 PM,Ride,1.15,70.0,Morning Ride,,
2023-08-21,12:31 PM,Ride,1.66,63.0,Morning Ride,,
2023-08-26,08:30 PM,Ride,3.11,72.3,Afternoon Ride,,
2023-08-27,04:25 PM,Ride,3.23,67.5,Lunch Ride,,
2023-08-29,09:50 PM,Ride,3.13,82.0,Afternoon Ride,,
2023-08-29,10:39 PM,Ride,1.03,81.0,Afternoon Ride,,
2023-08-30,10:52 PM,Ride,2.6,79.0,Afternoon Ride,,
2023-09-01,11:40 PM,Ride,2.51,88.5,Evening Ride,,
2023-09-11,09:15 PM,Ride,2.13,71.4,Afternoon Ride,,
2023-09-17,12:48 AM,Rowing,1.5,,12:00 row,,
2023-09-19,12:01 AM,Rowing,0.17,,1:43 row,1:00:00,
2023-09-19,12:04 AM,Rowing,7.35,,1:00:00 row,1:00:00,
2023-09-21,12:03 AM,Rowing,7.47,,1:05:04 row,,
2023-09-21,11:31 AM,Ride,7.1,62.2,Morning Ride,,
2023-09-21,09:24 PM,Ride,6.95,83.7,Afternoon Ride,,
2023-09-24,07:19 PM,Rowing,8.11,,1:12:06 row,,
2023-09-27,11:29 AM,Ride,6.43,59.5,Morning Ride,,
2023-09-27,08:48 PM,Ride,7.67,71.2,Afternoon Ride,,
2023-10-02,11:16 AM,Ride,6.77,68.2,Morning Ride,,
2023-10-02,09:22 PM,Ride,6.59,87.8,Afternoon Ride,,
2023-10-04,11:20 AM,Ride,6.52,62.8,Morning Ride,,
2023-10-04,08:55 PM,Ride,6.97,63.7,Afternoon Ride,,
2023-10-05,11:16 AM,Ride,6.84,54.9,Morning Ride,,
2023-10-05,08:57 PM,Ride,6.6,61.9,Afternoon Ride,,
2023-10-09,07:41 PM,Ride,1.47,54.7,Afternoon Ride,,
2023-10-26,09:51 PM,Ride,1.27,59.4,Afternoon Ride,,
2023-10-27,09:34 PM,Ride,1.07,39.0,Afternoon Ride,,
2023-10-28,12:34 PM,Ride,2.91,27.7,Cold,"Thin xcountry pants, shirt, maroon hoodie, black shoulder season jacket, purple buff, biking gloves 

Can't sustain 25+ mph for more than a minute or two. Like head out of car window. Wind would make it worse.

Need: replace purple buff with balaclava. Thicker xcountry pants if colder. Ski goggles? Add glove liners if 5f colder.",
2023-11-01,11:12 AM,Ride,6.64,22.5,Morning Ride,,
2023-11-01,09:14 PM,Ride,6.68,36.7,Afternoon Ride,,
2023-11-02,11:14 AM,Ride,6.7,25.0,Morning Ride,,
2023-11-02,09:10 PM,Ride,6.7,,Afternoon ride,,
2023-11-06,12:07 PM,Ride,6.51,49.1,Morning Ride,,
2023-11-06,09:38 PM,Ride,0.16,46.0,Afternoon Ride,,
2023-11-06,09:39 PM,E-Bike Ride,6.63,46.0,Afternoon Ride,,
2023-11-13,10:38 PM,Ride,6.9,53.8,Afternoon Ride,,
2023-11-13,12:13 PM,Ride,6.6,38.5,Morning Ride,,
2023-11-15,11:59 AM,Ride,6.55,41.0,Morning Ride,,
2023-11-15,11:08 PM,Ride,7.23,51.8,Afternoon Ride,,
2023-11-16,12:23 PM,Ride,6.51,51.8,Morning Ride,,
2023-11-16,10:34 PM,E-Bike Ride,6.88,62.8,Afternoon Ride,,
2023-11-20,12:24 PM,Ride,6.5,39.9,Morning Ride,,
2023-11-20,08:54 PM,Ride,4.61,,Afternoon Ride,,
2023-12-01,02:40 PM,Ride,2.11,19.8,Morning Ride,,
2024-01-26,11:50 AM,Ride,6.51,33.4,Morning Ride,,
2024-01-26,10:20 PM,Ride,6.39,39.4,Afternoon Ride,,
2024-01-30,11:54 AM,Ride,6.52,36.5,Morning Ride,,
2024-01-30,10:02 PM,Ride,6.53,40.5,Afternoon Ride,,
2024-01-31,11:42 AM,Ride,6.55,31.8,Morning Ride,,
2024-01-31,10:18 PM,Ride,6.49,51.3,Afternoon Ride,,
2024-02-06,12:19 PM,Ride,6.53,31.3,Morning Ride,,
2024-02-06,09:45 PM,Ride,6.56,51.4,Afternoon Ride,,
2024-02-07,10:11 PM,E-Bike Ride,6.51,50.2,Evening ride,,
2024-02-07,12:18 PM,Ride,0.0,,Morning Ride,,
2024-02-09,12:20 PM,Ride,6.58,31.6,Morning Ride,,"Thick ski pants, tshirt, biking hoodie, goretex, typing gloves, balaclava. High winds made the first half of the trip pretty cold all around, especially face "
2024-02-09,10:25 PM,E-Bike Ride,6.54,30.7,Afternoon Ride,,
2024-02-13,12:26 PM,Ride,0.23,29.7,Morning Ride,,
2024-02-27,12:27 PM,Ride,6.53,35.6,Morning Ride,,
2024-02-27,09:41 PM,Ride,6.63,32.0,Afternoon Ride,,
2024-03-06,11:53 AM,Ride,6.5,29.7,Morning Ride,,
2024-03-06,10:22 PM,Ride,0.0,,Afternoon Ride,,
2024-03-12,10:59 AM,Ride,5.97,50.7,Morning Ride,,
2024-03-12,09:14 PM,Ride,7.48,64.6,Afternoon Ride,,
2024-03-13,11:00 AM,Ride,6.54,40.8,Morning Ride,,
2024-03-13,09:27 PM,Ride,8.47,63.3,Afternoon Ride,,
2024-03-20,10:48 AM,Ride,6.54,20.7,Morning Ride,,
2024-03-20,09:35 PM,Ride,7.04,30.6,Afternoon Ride,,
2024-03-21,10:44 AM,Ride,6.52,23.7,Morning Ride,,
2024-03-21,09:33 PM,Ride,7.19,32.5,Afternoon Ride,,
2024-03-30,10:18 PM,Ride,0.97,43.3,Afternoon Ride,,
2024-04-02,10:41 AM,Ride,6.53,37.0,Morning Ride,,
2024-04-02,08:17 PM,Ride,6.73,43.2,Afternoon Ride,,
2024-04-05,10:45 AM,Ride,6.53,32.2,Morning Ride,,
2024-04-05,08:26 PM,Ride,6.2,56.5,Afternoon Ride,,
2024-04-09,10:51 AM,Ride,6.52,39.4,Morning Ride,,
2024-04-09,08:39 PM,Ride,6.68,59.4,Afternoon Ride,,
2024-05-15,10:46 AM,Ride,6.53,49.5,Morning Ride,,
2024-05-15,08:33 PM,Ride,6.55,72.0,Afternoon Ride,,
2024-05-23,11:00 AM,Ride,6.52,52.0,Morning Ride,,
2024-05-23,08:56 PM,Ride,6.39,77.5,Afternoon Ride,,
2024-06-05,10:45 AM,Ride,6.4,55.8,Morning Ride,,
2024-06-05,08:35 PM,Ride,7.4,73.8,Afternoon Ride,,
2024-06-27,10:53 AM,Ride,6.51,58.5,Morning Ride,,
2024-06-27,08:38 PM,Ride,6.6,77.9,Afternoon Ride,,
2024-07-17,11:24 AM,Ride,6.56,,Morning Ride,,
2024-07-17,08:39 PM,Ride,5.77,,Afternoon Ride,,
2024-07-18,11:24 AM,Ride,6.14,,Morning Ride,,
2024-07-18,09:03 PM,Ride,6.34,,Afternoon Ride,,
2024-07-19,09:35 PM,Ride,1.38,,Afternoon Ride,,
2024-07-19,11:26 PM,Ride,2.83,,Evening Ride,,
2024-07-24,11:42 AM,Ride,5.92,,Morning Ride,,
2024-07-24,09:55 PM,Ride,6.19,,Afternoon Ride,,
2024-11-21,12:16 PM,Ride,6.64,,Morning Ride,,
2024-11-21,10:16 PM,Ride,7.91,,Afternoon Ride,,
2025-07-26,11:34 PM,Hike,0.02,,Evening Hike,,
2025-07-26,11:35 PM,Hike,1.98,,Evening Hike,,
2025-07-28,11:29 AM,Hike,2.08,,Morning Hike,,
2025-07-28,09:50 PM,Swim,0.33,,Afternoon Swim,,
2025-08-06,12:03 PM,Run,1.44,,Morning Run,,
